Param,vals
pk_max,0.053957508992297135
pk_min,0.00785823670461498
pk_abs,0.03451213326621666
pk_gri,0.05984352795709903
pf,0.7235462805849006
pb,0.6085875887997646
pc,0.09253237993874609
pk_1,0.03465154621777938
pk_2,0.06467403306668203
pV_m0,4.9121013794603074
pV_mx,0.04647590407874536
pxK_m0,463.9345499867863
pp_2U,0.11074773435429919
pK,2.2461615196516114
pxα_Y,0.03555561861132285
pxβ_Y,0.0961873306153539
pk_e1,0.0006040053356506075
pk_e2,249.36215349770092
pk_p2,0.00038824198628908024
pk_p3,0.00542501725257948
pk_p4,0.0960317493457469
pk_i,0.00801091656713846
pV_I,0.028956034734272718
pm_1,0.662181532321985
pm_5,0.03264330716570875
pm_6,0.8519921795347389
pEGPb,2.008158662910265
pIb,96.06783571051318
DXpk_e1,0.0004878652851767269
DXpk_e2,0.8364194244017638
loss,70.05789972535558
