Parameters,StatusLower,StatusUpper,CILower,CIUpper,FittedValues
pk_max,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04603222358428764,0.046680408166967655,0.0465
pk_min,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.007575031669706321,0.0076235479979392074,0.0076
pk_abs,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.022949429812912356,0.023149391185739172,0.023
pk_gri,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04598112665959812,0.04789948424177648,0.0465
pf,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,0.7826652433279593,,0.9
pb,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.6655242866356716,0.695691127274241,0.68
pc,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.0889828600785677,0.09072797139177102,0.09
pk_1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04168224778833737,0.042177198637331305,0.042
pk_2,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.06925748309212838,0.07220318405087187,0.071
pV_m0,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,2.708147209400571,6.271044280655801,4.65
pV_mx,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.03250895506339773,0.034376679297233106,0.034
pxK_m0,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,2.918523914878281,,466.21
pp_2U,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,0.02060835562576149,,0.084
pK,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.7738932169885728,1.2017525194290275,0.99
pxα_Y,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.012451338580635105,0.013074853486600022,0.013
pxβ_Y,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.04879077994494422,0.050662236295824295,0.05
pk_e1,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.0004996,0.0007270339398445587,0.0007
pk_e2,SCAN_BOUND_REACHED,SCAN_BOUND_REACHED,,,269.0
pk_p2,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.00041724494310574285,0.0007711765594335602,0.0007
pk_p3,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.004818856322402281,0.005926763694277942,0.005
pk_p4,SCAN_BOUND_REACHED,SCAN_BOUND_REACHED,,,0.0786
pk_i,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.006475152657820556,0.007902600000000001,0.0066
pV_I,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.03950989969409778,0.04027198396683837,0.04
pm_1,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,0.0963179498177113,,0.379
pm_5,BORDER_FOUND_BY_SCAN_TOL,BORDER_FOUND_BY_SCAN_TOL,0.05140449395712146,0.05317316253694933,0.0526
pm_6,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,0.7315479734858257,,0.8118
pIb,BORDER_FOUND_BY_SCAN_TOL,SCAN_BOUND_REACHED,26.964793851890114,,54.81
pEGPb,SCAN_BOUND_REACHED,SCAN_BOUND_REACHED,,,2.01
